#ncpu	cpu-time	     time
1	301.734856000000036	302.198486328125000
2	149.721358000000009	149.947998046875000
4	74.772672000000000	74.884803771972656
9	36.990312000000003	37.051700592041016
16	23.057440999999997	23.159000396728516
18	20.405275999999997	20.499799728393555
24	15.420963000000000	15.617099761962891
36	10.336646000000000	10.461299896240234
72	5.344334000000000	5.410999774932861
108	3.644228000000000	3.715500116348267
144	2.816176000000000	3.101599931716919
180	2.520158000000000	2.705499887466431
216	2.084130000000000	2.190399885177612
252	1.820114000000000	2.137300014495850
288	1.740109000000000	1.868299961090088
324	1.640103000000000	1.766800045967102
360	1.584099000000000	1.734099984169006
540	1.408088000000000	1.680699944496155
720	1.480092000000000	1.764700055122375
900	1.700106000000000	2.116800069808960
