#ncpu	cpu-time	     time
1	10619.891700999998648	10632.944335937500000
9	2779.457705000000260	2782.882080078125000
16	2446.412891999999829	2449.459472656250000
25	2401.950112999999874	2405.217041015625000
36	2575.252942999999959	2578.511474609375000
49	1520.639034999999922	1522.926635742187500
64	1715.063184999999976	1717.232788085937500
81	1339.307702000000063	1341.097412109375000
100	1494.441397000000052	1496.609375000000000
121	1267.395207000000028	1269.088745117187500
144	1267.075186999999914	1269.318481445312500
169	1069.286826000000019	1071.172485351562500
196	971.564719999999966	972.940795898437500
225	884.435272999999938	885.703979492187500
256	768.716042999999900	770.102172851562500
289	747.226698999999940	748.302124023437500
324	739.066188000000011	740.158020019531250
