#ncpu	cpu-time	     time
1	1.276079000000000	1.361799955368042
9	1.456092000000000	1.479500055313110
16	1.628102000000000	1.650599956512451
25	1.616101000000000	1.651800036430359
36	1.616101000000000	1.644700050354004
49	1.660104000000000	1.731199979782104
64	1.688106000000000	1.725999951362610
81	1.676105000000000	1.721099972724915
100	1.680105000000000	1.791200041770935
121	1.716108000000000	1.757799983024597
144	1.688107000000000	1.729500055313110
169	1.804113000000000	1.877400040626526
196	1.760111000000000	1.851099967956543
225	1.768111000000000	1.854099988937378
256	1.760110000000000	1.874099969863892
289	1.784112000000000	1.906700015068054
324	1.784111000000000	1.924299955368042
361	1.892119000000000	2.084300041198730
484	1.952123000000000	2.338799953460693
729	1.896118000000000	2.525199890136719
900	3.520219000000000	4.738299846649170
