#ncpu	cpu-time	     real-time
2	98.0710910000000	98.3059005737305
3	71.2021760000000	71.4077987670898
4	116.217332000000	116.505096435547
5	120.282714000000	120.602798461914
7	126.511767000000	126.815299987793
11	120.600665000000	120.943397521973
13	125.971850000000	126.326896667480
17	122.195424000000	122.568603515625
19	122.564368000000	122.975601196289
23	124.095134000000	124.591003417969
29	126.433780000000	127.575103759766
31	125.167971000000	125.876602172852
37	115.441451000000	116.142196655273
41	116.225331000000	117.003097534180
43	115.041511000000	115.909400939941
47	112.591884000000	113.590797424316
53	110.505201000000	111.384498596191
59	108.565496000000	109.609199523926
61	108.112564000000	109.238899230957
67	121.000605000000	127.223197937012
71	122.729342000000	124.092697143555
73	128.891405000000	130.123901367188
79	123.703195000000	124.469299316406
83	124.218116000000	125.023498535156
89	124.764032000000	125.552101135254
97	124.300103000000	125.136802673340
101	124.635052000000	125.509201049805
103	124.380092000000	125.358802795410
107	122.992302000000	123.943298339844
109	124.948005000000	125.989097595215
113	124.367093000000	125.390899658203
127	125.916858000000	127.121299743652
131	122.058444000000	123.318298339844
137	123.883166000000	125.134498596191
139	122.816328000000	124.121803283691
149	110.231242000000	111.607696533203
151	124.668048000000	126.035102844238
157	110.557192000000	112.054603576660
163	109.751315000000	116.200599670410
167	111.174099000000	112.706100463867
173	111.197095000000	112.854202270508
179	126.348792000000	128.106201171875
181	124.073138000000	125.945098876953
191	127.194663000000	129.090805053711
193	125.735885000000	127.935501098633
197	126.337794000000	128.320602416992
199	126.491770000000	128.562805175781
211	128.064531000000	130.265106201172
223	124.065139000000	130.114807128906
227	127.001692000000	129.465499877930
229	dt=	dt=
